nombre;modelo;descripcion;sistema;capacidad;mca;mfa
VC PRO;MVC-850WV2WN1;Equipo VRF;VRF;0;92,5;100
VC PRO;MVC-785WV2WN1;Equipo VRF;VRF;0;92;100
VC PRO;MVC-730WV2WN1;Equipo VRF;VRF;0;91,5;100
VC PRO;MVC-670WV2WN1;Equipo VRF;VRF;0;91;100
VC PRO;MVC-615WV2WN1;Equipo VRF;VRF;0;86,5;100
VC PRO;MVC-560WV2WN1;Equipo VRF;VRF;0;86;100
VC PRO;MVC-500WV2WN1;Equipo VRF;VRF;0;85;100
VC PRO;MVC-450WV2WN1;Equipo VRF;VRF;0;47,5;63
VC PRO;MVC-400WV2WN1;Equipo VRF;VRF;0;45,5;50
VC PRO;MVC-335WV2WN1;Equipo VRF;VRF;0;43;50
VC PRO;MVC-280WV2WN1;Equipo VRF;VRF;0;42,5;50
VC PRO;MVC-224WV2WN1;Equipo VRF;VRF;0;42,5;50
V4;MDV-280(10)W/D2DN1(B);Equipo VRF;VRF;0;41;50
V5 X;MV5-X280W/V2DN1;Equipo VRF;VRF;0;35;40
V5 X;MV5-X252W/V2DN1;Equipo VRF;VRF;0;35;40
Mini VRF;MDV-V180W/DCN1;Equipo VRF;VRF;0;36,25;40
Mini VRF;MDV-V160W/DCN1;Equipo VRF;VRF;0;36,25;40
Mini VRF;MDV-V140W/DCN1;Equipo VRF;VRF;0;35,7;40
Mini VRF;MDV-V120W/DCN1;Equipo VRF;VRF;0;34,5;40
Mini VRF;MDV-V105W/DCN1;Equipo VRF;VRF;0;33,5;40
Unidad Interna;EVAP;Evaporador;VRF;0;0;0
