codigo;familia;nombre;unidad;costo_unitario 
TAC120;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 1/2"" (ASTM A-53) (5,80 M)";UND;0
TAC034;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 3/4"" (ASTM A-53)  (5,80 M)";UND;0
TAC001;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 1"" (ASTM A-53)  (5,80 M)";UND;0
TAC112;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 1 1/2"" (ASTM A-53)  (5,80 M)";UND;0
TAC002;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 2"" (ASTM A-53)  (5,80 M)";UND;0
TAC212;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 2 1/2"" (ASTM A-53)  (5,80 M)";UND;0
TAC003;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 3"" (ASTM A-53)  (5,80 M)";UND;0
TAC004;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 4"" (ASTM A-53)  (5,80 M)";UND;0
TAC006;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 6"" (ASTM A-53)  (5,80 M)";UND;0
TAC008;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 8"" (ASTM A-53)  (5,80 M)";UND;0
TAC010;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 10"" (ASTM A-53)  (5,80 M)";UND;0
TAC012;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 12"" (ASTM A-53)  (5,80 M)";UND;0
TAC014;TUBERIAS;"TUBERIA ACERO AL CARBONO Ø 14"" (ASTM A-53)  (5,80 M)";UND;0
DS120;TUBERIAS;"BRANCH CONNECTION ACERO AL CARBONO Ø 1/2"" (ASTM A-53)";UND;0
DS034;TUBERIAS;"BRANCH CONNECTION ACERO AL CARBONO Ø 3/4"" (ASTM A-53)";UND;0
DS001;TUBERIAS;"BRANCH CONNECTION ACERO AL CARBONO Ø 1"" (ASTM A-53)";UND;0
DS112;TUBERIAS;"BRANCH CONNECTION ACERO AL CARBONO Ø 1 1/2"" (ASTM A-53)";UND;0
