codigo;nombre;unidad;familia;sistema;costo_unitario
ABM012;"ABRAZADERA MOROCHA DE (1/2"") CON TORNILLO";UNIDAD;ANCLAJE;VRF;1,33
ABM034;"ABRAZADERA MOROCHA DE (3/4"") CON TORNILLO";UNIDAD;ANCLAJE;VRF;1,5
ABM001;"ABRAZADERA MOROCHA DE (1"") CON TORNILLO";UNIDAD;ANCLAJE;VRF;1,66
ABM112;"ABRAZADERA MOROCHA DE (1 1/2"") CON TORNILLO";UNIDAD;ANCLAJE;VRF;2,49
ABM002;"ABRAZADERA MOROCHA DE (2"") CON TORNILLO";UNIDAD;ANCLAJE;VRF;2,63
ABM003;"ABRAZADERA MOROCHA DE (3"") CON TORNILLO";UNIDAD;ANCLAJE;VRF;3,64
ABM004;"ABRAZADERA MOROCHA DE (4"") CON TORNILLO";UNIDAD;ANCLAJE;VRF;4,5
AM0038;"ANCLAJE MARIPOSA DE (3/8"")";UNIDAD;ANCLAJE;VRF;1,33
AM0012;"ANCLAJE MARIPOSA DE (1/2"")";UNIDAD;ANCLAJE;VRF;2,98
AP0038;"ARANDELA PLANA DE (3/8"")";UNIDAD;ANCLAJE;VRF;0,2
AP0012;"ARANDELA PLANA DE (1/2"")";UNIDAD;ANCLAJE;VRF;0,3
BR0038;"BARRA ROSCADA DE (3/8"" X 2M)";UNIDAD;ANCLAJE;VRF;5
BR0012;"BARRA ROSCADA DE (1/2"" X 2M)";UNIDAD;ANCLAJE;VRF;8,28
DI0038;"DROP IN DE (3/8"")";UNIDAD;ANCLAJE;VRF;0,9
DI0012;"DROP IN DE (1/2"")";UNIDAD;ANCLAJE;VRF;1
GN0001;GOMAS ANTIVIBRATORIAS;UNIDAD;ANCLAJE;VRF;50
R11234;"RIEL UNISTRUT DE (1 1/2"" X 3/4"" X 2.4M)";UNIDAD;ANCLAJE;VRF;26
TIR012;"TIRRAP NEGRO DE (12"") - (PAQ 100 UND)  ";UNIDAD;ANCLAJE;VRF;6,6
TH0038;"TUERCA HEXAGONAL DE (3/8"")";UNIDAD;ANCLAJE;VRF;0,17
TH0012;"TUERCA HEXAGONAL DE (1/2"")";UNIDAD;ANCLAJE;VRF;0,34
AMF01438;"ARMAFLEX DE (1/4""X3/8""X 1,8M) ";UNIDAD;TUBERIA;VRF;3,5
AMF03812;"ARMAFLEX DE (3/8""X3/8""X1,8M)";UNIDAD;TUBERIA;VRF;3
AMF01212;"ARMAFLEX DE (1/2""X3/8""X1,8M)";UNIDAD;TUBERIA;VRF;4
AMF05812;"ARMAFLEX DE (5/8""X3/8""X1,8M)";UNIDAD;TUBERIA;VRF;4
AMF03412;"ARMAFLEX DE (3/4""X3/8""X1,8M)";UNIDAD;TUBERIA;VRF;4
AMF07812;"ARMAFLEX DE (7/8""X3/8""X1,8M)";UNIDAD;TUBERIA;VRF;5
AMF11812;"ARMAFLEX DE (1 1/8""X3/8""X1,8M) ";UNIDAD;TUBERIA;VRF;4,6
AMF13812;"ARMAFLEX DE (1 3/8""X3/8""X1,8M)";UNIDAD;TUBERIA;VRF;5
AMF15812;"ARMAFLEX DE (1 5/8""X3/8""X1,8M)";UNIDAD;TUBERIA;VRF;6,6
AMF21812;"ARMABLEX DE (2 1/8""X3/8""X1,8M)";UNIDAD;TUBERIA;VRF;8
ANC0014;"ANILLO DE COBRE DE (1/4"")";UNIDAD;TUBERIA;VRF;1,11
ANC0038;"ANILLO DE COBRE DE (3/8"")";UNIDAD;TUBERIA;VRF;0,8
ANC0012;"ANILLO DE COBRE DE (1/2"")";UNIDAD;TUBERIA;VRF;0,6
ANC0058;"ANILLO DE COBRE DE (5/8"")";UNIDAD;TUBERIA;VRF;0,85
ANC0034;"ANILLO DE COBRE DE (3/4"")";UNIDAD;TUBERIA;VRF;2,5
ANC0078;"ANILLO DE COBRE DE (7/8"")";UNIDAD;TUBERIA;VRF;3,8
ANC0118;"ANILLO DE COBRE DE (1 1/8"")";UNIDAD;TUBERIA;VRF;2,2
ANC0138;"ANILLO DE COBRE DE (1 3/8"")";UNIDAD;TUBERIA;VRF;5,4
ANC0158;"ANILLO DE COBRE DE (1 5/8"")";UNIDAD;TUBERIA;VRF;9,5
ANC0218;"ANILLO DE COBRE DE (2 1/8"")";UNIDAD;TUBERIA;VRF;10,9
CDC04514;"CODO DE COBRE DE (1/4"" X 45°)";UNIDAD;TUBERIA;VRF;0,8
CDC04538;"CODO DE COBRE DE (3/8""X45°)";UNIDAD;TUBERIA;VRF;1
CDC04512;"CODO DE COBRE DE (1/2""X45°)";UNIDAD;TUBERIA;VRF;1,1
CDC04558;"CODO DE COBRE DE (5/8""X45°)";UNIDAD;TUBERIA;VRF;1,2
CDC04534;"CODO DE COBRE DE (3/4""X45°)";UNIDAD;TUBERIA;VRF;1,8
CDC04578;"CODO DE COBRE DE (7/8""X45°)";UNIDAD;TUBERIA;VRF;2,1
CDC45118;"CODO DE COBRE DE (1 1/8""X45°)";UNIDAD;TUBERIA;VRF;3,9
CDC45138;"CODO DE COBRE DE (1 3/8""X45°)";UNIDAD;TUBERIA;VRF;6,3
