cantidad_requerida;equipo_origen_id;material_requerido_id
1;MVC-850WV2WN1;GN0001
1;MVC-785WV2WN1;GN0001
1;MVC-730WV2WN1;GN0001
1;MVC-670WV2WN1;GN0001
1;MVC-615WV2WN1;GN0001
1;MVC-560WV2WN1;GN0001
1;MVC-500WV2WN1;GN0001
1;MVC-450WV2WN1;GN0001
1;MVC-400WV2WN1;GN0001
1;MVC-335WV2WN1;GN0001
1;MVC-280WV2WN1;GN0001
1;MVC-224WV2WN1;GN0001
1;MDV-280(10)W/D2DN1(B);GN0001
1;MV5-X280W/V2DN1;GN0001
1;MV5-X252W/V2DN1;GN0001
1;MDV-V180W/DCN1;GN0001
1;MDV-V160W/DCN1;GN0001
1;MDV-V140W/DCN1;GN0001
1;MDV-V120W/DCN1;GN0001
1;MDV-V105W/DCN1;GN0001
8;MVC-850WV2WN1;CTHW002M
8;MVC-785WV2WN1;CTHW002M
8;MVC-730WV2WN1;CTHW002M
8;MVC-670WV2WN1;CTHW002M
8;MVC-615WV2WN1;CTHW002M
8;MVC-560WV2WN1;CTHW002M
8;MVC-500WV2WN1;CTHW002M
8;MVC-450WV2WN1;CTHW008M
8;MVC-400WV2WN1;CTHW008M
8;MVC-335WV2WN1;CTHW008M
8;MVC-280WV2WN1;CTHW008M
8;MVC-224WV2WN1;CTHW008M
8;MDV-280(10)W/D2DN1(B);CTHW008M
8;MV5-X280W/V2DN1;CTHW008M
8;MV5-X252W/V2DN1;CTHW008M
8;MDV-V180W/DCN1;CTHW008M
8;MDV-V160W/DCN1;CTHW008M
8;MDV-V140W/DCN1;CTHW008M
8;MDV-V120W/DCN1;CTHW008M
8;MDV-V105W/DCN1;CTHW008M
1;EVAP;R11234
2;EVAP;BR0038
16;EVAP;TH0038
16;EVAP;AP0038
4;EVAP;AM0038
4;EVAP;DI0038
6;EVAP;CTHW012M
1;EVAP;TFPVC034
1;EVAP;CPP042
1;EVAP;TCP042
3;EVAP;CCPVC034
1;EVAP;RV0141
1;EVAP;TAR0081
1;EVAP;TUPVC34
1;EVAP;AHPVC34
1;EVAP;APVC034
6;EVAP;CPVC9034
1;EVAP;TPVC034
1;EVAP;PPVC014
1;EVAP;UPVC034
