equipo_origen_id;materiales_requeridos
EVAP;"[{""codigo"": ""R11234"", ""cantidad"": 1}, {""codigo"": ""BR0038"", ""cantidad"": 2}, {""codigo"": ""TH0038"", ""cantidad"": 16}, {""codigo"": ""AP0038"", ""cantidad"": 16}, {""codigo"": ""AM0038"", ""cantidad"": 4}, {""codigo"": ""DI0038"", ""cantidad"": 4}, {""codigo"": ""CTHW012M"", ""cantidad"": 6}, {""codigo"": ""TFPVC034"", ""cantidad"": 1}, {""codigo"": ""CPP042"", ""cantidad"": 1}, {""codigo"": ""TCP042"", ""cantidad"": 1}, {""codigo"": ""CCPVC034"", ""cantidad"": 3}, {""codigo"": ""RV0141"", ""cantidad"": 1}, {""codigo"": ""TAR0081"", ""cantidad"": 1}, {""codigo"": ""TUPVC34"", ""cantidad"": 1}, {""codigo"": ""AHPVC34"", ""cantidad"": 1}, {""codigo"": ""APVC034"", ""cantidad"": 1}, {""codigo"": ""CPVC9034"", ""cantidad"": 6}, {""codigo"": ""TPVC034"", ""cantidad"": 1}, {""codigo"": ""PPVC014"", ""cantidad"": 1}, {""codigo"": ""UPVC034"", ""cantidad"": 1}]"
MDV-280(10)W/D2DN1(B);"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MDV-V105W/DCN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MDV-V120W/DCN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MDV-V140W/DCN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MDV-V160W/DCN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MDV-V180W/DCN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MV5-X252W/V2DN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MV5-X280W/V2DN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MVC-224WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MVC-280WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MVC-335WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MVC-400WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MVC-450WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW008M"", ""cantidad"": 8}]"
MVC-500WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW002M"", ""cantidad"": 8}]"
MVC-560WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW002M"", ""cantidad"": 8}]"
MVC-615WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW002M"", ""cantidad"": 8}]"
MVC-670WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW002M"", ""cantidad"": 8}]"
MVC-730WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW002M"", ""cantidad"": 8}]"
MVC-785WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW002M"", ""cantidad"": 8}]"
MVC-850WV2WN1;"[{""codigo"": ""GN0001"", ""cantidad"": 1}, {""codigo"": ""CTHW002M"", ""cantidad"": 8}]"
